Gene name,GO term name
FLI1,"DNA-binding transcription factor activity, RNA polymerase II-specific"
FLI1,chromatin
FLI1,cell differentiation
FLI1,animal organ morphogenesis
FLI1,transcription cis-regulatory region binding
FLI1,hemostasis
FLI1,RNA polymerase II cis-regulatory region sequence-specific DNA binding
FLI1,"DNA-binding transcription activator activity, RNA polymerase II-specific"
FLI1,chromatin binding
FLI1,blood circulation
FLI1,megakaryocyte development
FLI1,positive regulation of transcription by RNA polymerase II
FNBP1,protein binding
FNBP1,signal transduction
FNBP1,cytoplasm
FNBP1,membrane
FNBP1,clathrin-coated pit
FNBP1,cytoplasmic vesicle
FNBP1,intracellular membrane-bounded organelle
FNBP1,plasma membrane
FNBP1,cytoskeleton
FNBP1,lysosome
FNBP1,cell cortex
FNBP1,endocytosis
FNBP1,lipid binding
FNBP1,identical protein binding
FNBP1,cytosol
FNBP1,
FOSL2,
FOSL2,"regulation of transcription, DNA-templated"
FOSL2,DNA-binding transcription factor activity
FOSL2,nucleus
FOSL2,nucleoplasm
FOSL2,DNA binding
FOSL2,regulation of transcription by RNA polymerase II
FOSL2,protein binding
FOSL2,"DNA-binding transcription factor activity, RNA polymerase II-specific"
FOSL2,RNA polymerase II cis-regulatory region sequence-specific DNA binding
FOSL2,chromatin
FOSL2,"DNA-binding transcription activator activity, RNA polymerase II-specific"
FOSL2,positive regulation of transcription by RNA polymerase II
FOSL2,RNA polymerase II transcription regulator complex
FOSL2,RNA polymerase II transcription regulatory region sequence-specific DNA binding
FOSL2,cell death
FOSL2,chromatin binding
FOSL2,keratinocyte development
FOSL2,"positive regulation of transcription, DNA-templated"
FOSL2,positive regulation of fibroblast proliferation
FSTL4,protein binding
FSTL4,calcium ion binding
FSTL4,metal ion binding
FSTL4,extracellular region
FSTL4,cell differentiation
FSTL4,brain-derived neurotrophic factor binding
FSTL4,negative regulation of brain-derived neurotrophic factor receptor signaling pathway
FSTL4,regulation of collateral sprouting
FSTL4,negative regulation of collateral sprouting
FSTL4,negative regulation of dendritic spine development
FSTL4,secretory granule
FSTL4,
FTO,nucleus
FTO,cytoplasm
FTO,nuclear speck
FTO,metal ion binding
FTO,oxidoreductase activity
FTO,dioxygenase activity
FTO,oxidative RNA demethylase activity
FTO,oxidative DNA demethylase activity
FTO,mRNA N6-methyladenosine dioxygenase activity
FTO,DNA dealkylation involved in DNA repair
FTO,oxidative single-stranded DNA demethylation
FTO,oxidative single-stranded RNA demethylation
FTO,regulation of multicellular organism growth
FTO,RNA repair
FTO,intracellular membrane-bounded organelle
FTO,transferase activity
FTO,cytosol
FTO,plasma membrane
FTO,nucleoplasm
FTO,ferrous iron binding
FTO,oxidative demethylation
FTO,regulation of brown fat cell differentiation
FTO,mRNA destabilization
FTO,tRNA demethylase activity
FTO,DNA-N1-methyladenine dioxygenase activity
FTO,DNA demethylation
FTO,regulation of lipid storage
FTO,temperature homeostasis
FTO,regulation of respiratory system process
FTO,adipose tissue development
FTO,regulation of white fat cell proliferation
FTO,
FTO,membrane
FTO,integral component of membrane
FTO,protein binding
FUT2,carbohydrate metabolic process
FUT2,membrane
FUT2,galactoside 2-alpha-L-fucosyltransferase activity
FUT2,integral component of membrane
FUT2,Golgi apparatus
FUT2,transferase activity
FUT2,lipid metabolic process
FUT2,glycosyltransferase activity
FUT2,protein binding
FUT2,protein glycosylation
FUT2,regulation of cell adhesion
FUT2,Golgi cisterna membrane
FUT2,extracellular exosome
FUT2,fucosylation
FUT2,fucosyltransferase activity
FUT2,Golgi membrane
FUT2,oligosaccharide biosynthetic process
FUT2,"alpha-(1,2)-fucosyltransferase activity"
FUT2,regulation of endothelial cell proliferation
FUT2,L-fucose catabolic process
FUT2,glycolipid metabolic process
FUT2,
GAB3,cytoplasm
GAB3,signal transduction
GAB3,signaling adaptor activity
GAB3,macrophage differentiation
GAB3,
GABRA2,integral component of membrane
GABRA2,ion transport
GABRA2,extracellular ligand-gated ion channel activity
GABRA2,membrane
GABRA2,cytoplasmic vesicle membrane
GABRA2,cytoplasmic vesicle
GABRA2,plasma membrane
GABRA2,ion channel activity
GABRA2,cell projection
GABRA2,anchoring junction
GABRA2,dendrite
GABRA2,protein binding
GABRA2,synapse
GABRA2,transmembrane signaling receptor activity
GABRA2,chloride transmembrane transport
GABRA2,postsynaptic membrane
GABRA2,chloride channel activity
GABRA2,chloride transport
GABRA2,chloride channel complex
GABRA2,GABA-A receptor activity
GABRA2,gamma-aminobutyric acid signaling pathway
GABRA2,ion transmembrane transport
GABRA2,excitatory postsynaptic potential
GABRA2,neurotransmitter transport
GABRA2,integral component of plasma membrane
GABRA2,neuron projection
GABRA2,excitatory extracellular ligand-gated ion channel activity
GABRA2,neurotransmitter receptor activity
GABRA2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential
GABRA2,signal transduction
GABRA2,chemical synaptic transmission
GABRA2,regulation of membrane potential
GABRA2,nervous system process
GABRA2,GABA-A receptor complex
GABRA2,inhibitory synapse assembly
GABRA2,postsynapse
GABRA2,integral component of synaptic vesicle membrane
GABRA2,inhibitory extracellular ligand-gated ion channel activity
GABRA2,GABA-gated chloride ion channel activity
GABRA2,"synaptic transmission, GABAergic"
GABRA2,regulation of postsynaptic membrane potential
GABRA2,dendrite membrane
GABRA2,benzodiazepine receptor activity
GABRA2,regulation of neurotransmitter levels
GABRA2,axon
GABRA2,neuronal cell body
GABRA2,inhibitory synapse
GABRA2,GABA-ergic synapse
GABRA2,integral component of postsynaptic specialization membrane
GABRA2,
GATA3,nucleus
GATA3,regulation of transcription by RNA polymerase II
GATA3,DNA-binding transcription factor activity
GATA3,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GATA3,positive regulation of T cell differentiation
GATA3,nucleoplasm
GATA3,"regulation of transcription, DNA-templated"
GATA3,sequence-specific DNA binding
GATA3,zinc ion binding
GATA3,metal ion binding
GATA3,signal transduction
GATA3,DNA binding
GATA3,cell differentiation
GATA3,protein binding
GATA3,"positive regulation of transcription, DNA-templated"
GATA3,immune system process
GATA3,response to virus
GATA3,innate immune response
GATA3,kidney development
GATA3,anatomical structure morphogenesis
GATA3,positive regulation of transcription by RNA polymerase II
GATA3,negative regulation of transcription by RNA polymerase II
GATA3,RNA polymerase II cis-regulatory region sequence-specific DNA binding
GATA3,transcription cis-regulatory region binding
GATA3,animal organ development
GATA3,system development
GATA3,negative regulation of cell cycle
GATA3,negative regulation of cell population proliferation
GATA3,chromatin
GATA3,regulation of cytokine production
GATA3,cis-regulatory region sequence-specific DNA binding
GATA3,sequence-specific double-stranded DNA binding
GATA3,male gonad development
GATA3,"DNA-binding transcription activator activity, RNA polymerase II-specific"
GATA3,negative regulation of inflammatory response
GATA3,cellular response to tumor necrosis factor
GATA3,regulation of cell differentiation
GATA3,"negative regulation of transcription, DNA-templated"
GATA3,positive regulation of interleukin-13 production
GATA3,positive regulation of interleukin-4 production
GATA3,RNA polymerase II-specific DNA-binding transcription factor binding
GATA3,negative regulation of fat cell differentiation
GATA3,phosphatidylinositol 3-kinase signaling
GATA3,T cell receptor signaling pathway
GATA3,negative regulation of endothelial cell apoptotic process
GATA3,cell fate determination
GATA3,cell fate commitment
GATA3,E-box binding
GATA3,defense response
GATA3,response to estrogen
GATA3,positive regulation of endothelial cell migration
GATA3,positive regulation of protein kinase B signaling
GATA3,positive regulation of miRNA transcription
GATA3,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
GATA3,negative regulation of epithelial to mesenchymal transition
GATA3,mesonephros development
GATA3,pharyngeal system development
GATA3,cellular response to interferon-alpha
GATA3,sympathetic nervous system development
GATA3,positive regulation of thyroid hormone generation
GATA3,positive regulation of transcription regulatory region DNA binding
GATA3,HMG box domain binding
GATA3,norepinephrine biosynthetic process
GATA3,negative regulation of cell motility
GATA3,positive regulation of interleukin-5 production
GATA3,cellular response to interleukin-4
GATA3,embryonic organ development
GATA3,mesenchymal to epithelial transition
GATA3,TOR signaling
GATA3,T cell differentiation
GATA3,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GATA3,transcription coactivator binding
GATA3,interleukin-2 receptor binding
GATA3,identical protein binding
GATA3,cell morphogenesis
GATA3,in utero embryonic development
GATA3,neuron migration
GATA3,type IV hypersensitivity
GATA3,positive regulation of cytokine production
GATA3,lens development in camera-type eye
GATA3,immune system development
GATA3,pro-T cell differentiation
GATA3,aortic valve morphogenesis
GATA3,cardiac right ventricle morphogenesis
GATA3,ventricular septum development
GATA3,chromatin remodeling
GATA3,transcription by RNA polymerase II
GATA3,humoral immune response
GATA3,nervous system development
GATA3,axon guidance
GATA3,cell population proliferation
GATA3,response to xenobiotic stimulus
GATA3,post-embryonic development
GATA3,positive regulation of signal transduction
GATA3,response to gamma radiation
GATA3,gene expression
GATA3,positive regulation of gene expression
GATA3,negative regulation of gene expression
GATA3,regulation of neuron projection development
GATA3,natural killer cell activation
GATA3,neuron differentiation
GATA3,erythrocyte differentiation
GATA3,regulation of epithelial cell differentiation
GATA3,negative regulation of interferon-gamma production
GATA3,negative regulation of interleukin-2 production
GATA3,T cell differentiation in thymus
GATA3,negative regulation of mammary gland epithelial cell proliferation
GATA3,embryonic hemopoiesis
GATA3,ureter maturation
GATA3,parathyroid hormone secretion
GATA3,inner ear morphogenesis
GATA3,regulation of neuron apoptotic process
GATA3,ear development
GATA3,thymic T cell selection
GATA3,T-helper 2 cell differentiation
GATA3,response to ethanol
GATA3,positive regulation of cell differentiation
GATA3,regulation of T-helper cell differentiation
GATA3,cell maturation
GATA3,thymus development
GATA3,developmental growth
GATA3,anatomical structure formation involved in morphogenesis
GATA3,homeostasis of number of cells
GATA3,regulation of histone H3-K4 methylation
GATA3,parathyroid gland development
GATA3,uterus development
GATA3,mast cell differentiation
GATA3,ureteric bud formation
GATA3,regulation of histone H3-K27 methylation
GATA3,canonical Wnt signaling pathway involved in metanephric kidney development
GATA3,cellular response to cytokine stimulus
GATA3,positive regulation of histone H3-K14 acetylation
GATA3,otic vesicle development
GATA3,cellular response to BMP stimulus
GATA3,positive regulation of ureteric bud formation
GATA3,nephric duct morphogenesis
GATA3,nephric duct formation
GATA3,regulation of nephron tubule epithelial cell differentiation
GATA3,ureter morphogenesis
GATA3,lymphocyte migration
GATA3,cochlea development
GATA3,negative regulation of DNA demethylation
GATA3,regulation of establishment of cell polarity
GATA3,positive regulation of T-helper 2 cell cytokine production
GATA3,negative regulation of cell proliferation involved in mesonephros development
GATA3,positive regulation of histone H3-K9 acetylation
GATA3,regulation of cellular response to X-ray
GATA3,negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation
GATA3,negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation
GATA3,
GLIS3,nucleus
GLIS3,metal ion binding
GLIS3,DNA binding
GLIS3,regulation of transcription by RNA polymerase II
GLIS3,negative regulation of transcription by RNA polymerase II
GLIS3,sequence-specific DNA binding
GLIS3,protein binding
GLIS3,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GLIS3,transcription by RNA polymerase II
GLIS3,positive regulation of transcription by RNA polymerase II
GLIS3,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GLIS3,RNA polymerase II cis-regulatory region sequence-specific DNA binding
GLIS3,"DNA-binding transcription activator activity, RNA polymerase II-specific"
GLIS3,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
GLIS3,
GLRA3,integral component of membrane
GLRA3,ion transport
GLRA3,extracellular ligand-gated ion channel activity
GLRA3,membrane
GLRA3,metal ion binding
GLRA3,plasma membrane
GLRA3,ion channel activity
GLRA3,cell projection
GLRA3,integral component of plasma membrane
GLRA3,dendrite
GLRA3,synapse
GLRA3,transmembrane signaling receptor activity
GLRA3,perikaryon
GLRA3,postsynaptic membrane
GLRA3,chloride channel activity
GLRA3,chloride transport
GLRA3,chloride channel complex
GLRA3,ion transmembrane transport
GLRA3,regulation of postsynaptic membrane potential
GLRA3,excitatory postsynaptic potential
GLRA3,neuron projection
GLRA3,excitatory extracellular ligand-gated ion channel activity
GLRA3,neurotransmitter receptor activity
GLRA3,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential
GLRA3,signal transduction
GLRA3,chemical synaptic transmission
GLRA3,regulation of membrane potential
GLRA3,nervous system process
GLRA3,chloride transmembrane transport
GLRA3,protein homooligomerization
GLRA3,glycine binding
GLRA3,extracellularly glycine-gated chloride channel activity
GLRA3,transmitter-gated ion channel activity
GLRA3,neuropeptide signaling pathway
GLRA3,glycine-gated chloride ion channel activity
GLRA3,response to amino acid
GLRA3,"synaptic transmission, glycinergic"
GLRA3,glycine-gated chloride channel complex
GLRA3,
GP2,membrane
GP2,cytoplasmic vesicle
GP2,plasma membrane
GP2,endosome
GP2,extracellular region
GP2,apical plasma membrane
GP2,membrane raft
GP2,immune system process
GP2,innate immune response
GP2,anchored component of membrane
GP2,extracellular space
GP2,extracellular matrix structural constituent
GP2,extracellular exosome
GP2,cell surface
GP2,antigen binding
GP2,anchored component of external side of plasma membrane
GP2,neutrophil migration
GP2,antigen transcytosis by M cells in mucosal-associated lymphoid tissue
GP2,zymogen granule membrane
GP2,protein binding
GP2,
GPR35,integral component of membrane
GPR35,G protein-coupled receptor activity
GPR35,G protein-coupled receptor signaling pathway
GPR35,membrane
GPR35,signal transduction
GPR35,plasma membrane
GPR35,chemokine receptor activity
GPR35,integral component of plasma membrane
GPR35,chemokine-mediated signaling pathway
GPR35,positive regulation of Rho protein signal transduction
GPR35,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway
GPR35,positive regulation of cytosolic calcium ion concentration
GPR35,negative regulation of voltage-gated calcium channel activity
GPR35,C-X-C chemokine receptor activity
GPR35,cytoskeleton organization
GPR35,negative regulation of neuronal action potential
GRB7,signal transduction
GRB7,RNA binding
GRB7,cytoplasm
GRB7,membrane
GRB7,plasma membrane
GRB7,cell projection
GRB7,focal adhesion
GRB7,negative regulation of translation
GRB7,cytosol
GRB7,anchoring junction
GRB7,protein binding
GRB7,lipid binding
GRB7,cytoplasmic stress granule
GRB7,identical protein binding
GRB7,phosphatidylinositol binding
GRB7,stress granule assembly
GRB7,protein kinase binding
GRB7,positive regulation of cell migration
GRB7,epidermal growth factor receptor signaling pathway
GRB7,
GSDMB,
GSDMB,cytoplasm
GSDMB,membrane
GSDMB,integral component of membrane
GSDMB,plasma membrane
GSDMB,programmed cell death
GSDMB,defense response to bacterium
GSDMB,cytolysis
GSDMB,"phosphatidylinositol-4,5-bisphosphate binding"
GSDMB,molecular_function
GSDMB,cellular_component
GSDMB,phosphatidylserine binding
GSDMB,phosphatidylinositol-4-phosphate binding
GSDMB,pyroptosis
GTF3C5,nucleoplasm
GTF3C5,transcription initiation from RNA polymerase III promoter
GTF3C5,transcription factor TFIIIC complex
GTF3C5,nucleus
GTF3C5,DNA binding
GTF3C5,protein binding
GTF3C5,RNA polymerase III general transcription initiation factor activity
GTF3C5,transcription by RNA polymerase III
GTF3C5,5S class rRNA transcription by RNA polymerase III
GTF3C5,tRNA transcription by RNA polymerase III
GTF3C5,skeletal muscle cell differentiation
GTF3C5,
H19,
H19,miRNA-mediated gene silencing
H19,RISC complex
HCP5,
HECW1,protein binding
HECW1,ubiquitin-protein transferase activity
HECW1,cytoplasm
HECW1,transferase activity
HECW1,cytosol
HECW1,protein ubiquitination
HECW1,ubiquitin protein ligase activity
HECW1,protein polyubiquitination
HECW1,proteasome-mediated ubiquitin-dependent protein catabolic process
HECW1,regulation of dendrite morphogenesis
HECW1,negative regulation of sodium ion transmembrane transporter activity
HECW1,negative regulation of canonical Wnt signaling pathway
HECW1,
HLA-A,
HLA-A,immune response
HLA-A,antigen processing and presentation
HLA-A,membrane
HLA-A,integral component of membrane
HLA-A,plasma membrane
HLA-A,ER to Golgi transport vesicle membrane
HLA-A,recycling endosome membrane
HLA-A,phagocytic vesicle membrane
HLA-A,early endosome membrane
HLA-A,cell surface
HLA-A,integral component of lumenal side of endoplasmic reticulum membrane
HLA-A,protein binding
HLA-A,RNA binding
HLA-A,Golgi apparatus
HLA-A,endoplasmic reticulum
HLA-A,endoplasmic reticulum membrane
HLA-A,immune system process
HLA-A,innate immune response
HLA-A,adaptive immune response
HLA-A,defense response to Gram-positive bacterium
HLA-A,integral component of plasma membrane
HLA-A,peptide antigen binding
HLA-A,endoplasmic reticulum exit site
HLA-A,extracellular exosome
HLA-A,antibacterial humoral response
HLA-A,antigen processing and presentation of peptide antigen via MHC class I
HLA-A,MHC class I protein complex
HLA-A,positive regulation of interferon-gamma production
HLA-A,Golgi membrane
HLA-A,T cell receptor signaling pathway
HLA-A,signaling receptor binding
HLA-A,positive regulation of T cell mediated cytotoxicity
HLA-A,TAP complex binding
HLA-A,MHC class I peptide loading complex
HLA-A,detection of bacterium
HLA-A,TAP binding
HLA-A,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent"
HLA-A,protection from natural killer cell mediated cytotoxicity
HLA-A,T cell receptor binding
HLA-A,beta-2-microglobulin binding
HLA-A,CD8 receptor binding
HLA-A,T cell mediated cytotoxicity
HLA-A,T cell mediated cytotoxicity directed against tumor cell target
HLA-A,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent"
HLA-A,positive regulation of T cell cytokine production
HLA-A,antigen processing and presentation of endogenous peptide antigen via MHC class I
HLA-A,"CD8-positive, alpha-beta T cell activation"
HLA-A,antigen processing and presentation of exogenous peptide antigen via MHC class I
HLA-A,"positive regulation of CD8-positive, alpha-beta T cell proliferation"
HLA-A,positive regulation of memory T cell activation
HLA-A,"positive regulation of CD8-positive, alpha-beta T cell activation"
HLA-A,Golgi medial cisterna
HLA-DPB2,
HLA-DQA2,membrane
HLA-DQA2,immune response
HLA-DQA2,antigen processing and presentation
HLA-DQA2,MHC class II protein complex
HLA-DQA2,integral component of membrane
HLA-DQA2,lysosomal membrane
HLA-DQA2,Golgi apparatus
HLA-DQA2,endoplasmic reticulum
HLA-DQA2,endoplasmic reticulum membrane
HLA-DQA2,plasma membrane
HLA-DQA2,endosome
HLA-DQA2,endosome membrane
HLA-DQA2,protein binding
HLA-DQA2,lysosome
HLA-DQA2,immune system process
HLA-DQA2,adaptive immune response
HLA-DQA2,integral component of plasma membrane
HLA-DQA2,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
HLA-DQA2,MHC class II protein complex binding
HLA-DQA2,peptide antigen assembly with MHC class II protein complex
HLA-DQA2,antigen processing and presentation of exogenous peptide antigen via MHC class II
HLA-DQA2,positive regulation of T cell activation
HLA-DQA2,trans-Golgi network membrane
HLA-DQA2,Golgi membrane
HLA-DQA2,endocytic vesicle membrane
HLA-DQA2,ER to Golgi transport vesicle membrane
HLA-DQA2,clathrin-coated endocytic vesicle membrane
HLA-DQA2,integral component of lumenal side of endoplasmic reticulum membrane
HLA-DQA2,MHC class II receptor activity
HLA-DQA2,transport vesicle membrane
HLA-DQA1,
HLA-DQA1,membrane
HLA-DQA1,immune response
HLA-DQA1,antigen processing and presentation
HLA-DQA1,MHC class II protein complex
HLA-DQA1,integral component of membrane
HLA-DQA1,lysosomal membrane
HLA-DQA1,endosome
HLA-DQA1,endosome membrane
HLA-DQA1,lysosome
HLA-DQA1,adaptive immune response
HLA-DQA1,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
HLA-DQA1,Golgi apparatus
HLA-DQA1,endoplasmic reticulum
HLA-DQA1,endoplasmic reticulum membrane
HLA-DQA1,plasma membrane
HLA-DQA1,protein binding
HLA-DQA1,immune system process
HLA-DQA1,integral component of plasma membrane
HLA-DQA1,MHC class II protein complex binding
HLA-DQA1,peptide antigen assembly with MHC class II protein complex
HLA-DQA1,antigen processing and presentation of exogenous peptide antigen via MHC class II
HLA-DQA1,positive regulation of T cell activation
HLA-DQA1,trans-Golgi network membrane
HLA-DQA1,Golgi membrane
HLA-DQA1,endocytic vesicle membrane
HLA-DQA1,ER to Golgi transport vesicle membrane
HLA-DQA1,clathrin-coated endocytic vesicle membrane
HLA-DQA1,integral component of lumenal side of endoplasmic reticulum membrane
HLA-DQA1,MHC class II receptor activity
HLA-DQA1,transport vesicle membrane
HLA-DQA1,peptide antigen binding
HLA-DQA1,metal ion binding
HLA-DQB1,membrane
HLA-DQB1,immune response
HLA-DQB1,antigen processing and presentation
HLA-DQB1,MHC class II protein complex
HLA-DQB1,integral component of membrane
HLA-DQB1,lysosomal membrane
HLA-DQB1,metal ion binding
HLA-DQB1,endosome
HLA-DQB1,endosome membrane
HLA-DQB1,lysosome
HLA-DQB1,adaptive immune response
HLA-DQB1,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
HLA-DQB1,
HLA-DQB1,Golgi apparatus
HLA-DQB1,endoplasmic reticulum
HLA-DQB1,endoplasmic reticulum membrane
HLA-DQB1,plasma membrane
HLA-DQB1,protein binding
HLA-DQB1,immune system process
HLA-DQB1,MHC class II protein complex binding
HLA-DQB1,peptide antigen assembly with MHC class II protein complex
HLA-DQB1,antigen processing and presentation of exogenous peptide antigen via MHC class II
HLA-DQB1,positive regulation of T cell activation
HLA-DQB1,trans-Golgi network membrane
HLA-DQB1,Golgi membrane
HLA-DQB1,T cell receptor signaling pathway
HLA-DQB1,endocytic vesicle membrane
HLA-DQB1,ER to Golgi transport vesicle membrane
HLA-DQB1,clathrin-coated endocytic vesicle membrane
HLA-DQB1,integral component of lumenal side of endoplasmic reticulum membrane
HLA-DQB1,humoral immune response
HLA-DQB1,MHC class II receptor activity
HLA-DQB1,transport vesicle membrane
HLA-DQB1,peptide antigen binding
HLA-DQB1-AS1,
HLA-DRA,membrane
HLA-DRA,immune response
HLA-DRA,antigen processing and presentation
HLA-DRA,MHC class II protein complex
HLA-DRA,integral component of membrane
HLA-DRA,lysosomal membrane
HLA-DRA,cytoplasmic vesicle
HLA-DRA,endoplasmic reticulum
HLA-DRA,endoplasmic reticulum membrane
HLA-DRA,plasma membrane
HLA-DRA,endosome
HLA-DRA,endosome membrane
HLA-DRA,lysosome
HLA-DRA,immune system process
HLA-DRA,late endosome membrane
HLA-DRA,early endosome membrane
HLA-DRA,adaptive immune response
HLA-DRA,cell surface
HLA-DRA,protein binding
HLA-DRA,integral component of plasma membrane
HLA-DRA,peptide antigen binding
HLA-DRA,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
HLA-DRA,extracellular exosome
HLA-DRA,polysaccharide binding
HLA-DRA,MHC class II protein complex binding
HLA-DRA,peptide antigen assembly with MHC class II protein complex
HLA-DRA,antigen processing and presentation of exogenous peptide antigen via MHC class II
HLA-DRA,positive regulation of T cell activation
HLA-DRA,trans-Golgi network membrane
HLA-DRA,Golgi membrane
HLA-DRA,endocytic vesicle membrane
HLA-DRA,cognition
HLA-DRA,ER to Golgi transport vesicle membrane
HLA-DRA,clathrin-coated endocytic vesicle membrane
HLA-DRA,positive regulation of T cell mediated cytotoxicity
HLA-DRA,immunological synapse
HLA-DRA,integral component of lumenal side of endoplasmic reticulum membrane
HLA-DRA,MHC class II receptor activity
HLA-DRA,T cell receptor binding
HLA-DRA,myeloid dendritic cell antigen processing and presentation
HLA-DRA,antigen processing and presentation of endogenous peptide antigen via MHC class II
HLA-DRA,"positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation"
HLA-DRA,positive regulation of memory T cell differentiation
HLA-DRA,regulation of T-helper cell differentiation
HLA-DRA,"positive regulation of CD4-positive, alpha-beta T cell activation"
HLA-DRA,transport vesicle membrane
HLA-DRA,
HLA-DRB1,membrane
HLA-DRB1,immune response
HLA-DRB1,antigen processing and presentation
HLA-DRB1,MHC class II protein complex
HLA-DRB1,integral component of membrane
HLA-DRB1,lysosomal membrane
HLA-DRB1,endosome
HLA-DRB1,endosome membrane
HLA-DRB1,lysosome
HLA-DRB1,adaptive immune response
HLA-DRB1,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
HLA-DRB1,
HLA-DRB1,cytoplasmic vesicle
HLA-DRB1,endoplasmic reticulum
HLA-DRB1,endoplasmic reticulum membrane
HLA-DRB1,signal transduction
HLA-DRB1,plasma membrane
HLA-DRB1,extracellular space
HLA-DRB1,cytoskeleton organization
HLA-DRB1,intermediate filament
HLA-DRB1,immune system process
HLA-DRB1,late endosome membrane
HLA-DRB1,cell surface
HLA-DRB1,protein binding
HLA-DRB1,structural constituent of cytoskeleton
HLA-DRB1,integral component of plasma membrane
HLA-DRB1,peptide antigen binding
HLA-DRB1,positive regulation of insulin secretion involved in cellular response to glucose stimulus
HLA-DRB1,extracellular exosome
HLA-DRB1,polysaccharide binding
HLA-DRB1,MHC class II protein complex binding
HLA-DRB1,peptide antigen assembly with MHC class II protein complex
HLA-DRB1,antigen processing and presentation of exogenous peptide antigen via MHC class II
HLA-DRB1,positive regulation of T cell activation
HLA-DRB1,negative regulation of interferon-gamma production
HLA-DRB1,trans-Golgi network membrane
HLA-DRB1,T-helper 1 type immune response
HLA-DRB1,Golgi membrane
HLA-DRB1,T cell receptor signaling pathway
HLA-DRB1,endocytic vesicle membrane
HLA-DRB1,epidermis development
HLA-DRB1,external side of plasma membrane
HLA-DRB1,ER to Golgi transport vesicle membrane
HLA-DRB1,clathrin-coated endocytic vesicle membrane
HLA-DRB1,"positive regulation of transcription, DNA-templated"
HLA-DRB1,positive regulation of T cell mediated cytotoxicity
HLA-DRB1,immunological synapse
HLA-DRB1,integral component of lumenal side of endoplasmic reticulum membrane
HLA-DRB1,protein tetramerization
HLA-DRB1,humoral immune response
HLA-DRB1,negative regulation of T cell proliferation
HLA-DRB1,detection of bacterium
HLA-DRB1,macrophage differentiation
HLA-DRB1,positive regulation of protein phosphorylation
HLA-DRB1,positive regulation of kinase activity
HLA-DRB1,positive regulation of I-kappaB kinase/NF-kappaB signaling
HLA-DRB1,positive regulation of MAPK cascade
HLA-DRB1,positive regulation of monocyte differentiation
HLA-DRB1,positive regulation of viral entry into host cell
HLA-DRB1,positive regulation of ERK1 and ERK2 cascade
HLA-DRB1,MHC class II receptor activity
HLA-DRB1,T cell receptor binding
HLA-DRB1,myeloid dendritic cell antigen processing and presentation
HLA-DRB1,antigen processing and presentation of endogenous peptide antigen via MHC class II
HLA-DRB1,"positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation"
HLA-DRB1,positive regulation of memory T cell differentiation
HLA-DRB1,regulation of T-helper cell differentiation
HLA-DRB1,"positive regulation of CD4-positive, alpha-beta T cell activation"
HLA-DRB1,transport vesicle membrane
HLA-DRB1,CD4 receptor binding
HLA-DRB1,inflammatory response to antigenic stimulus
HLA-DRB1,positive regulation of T cell mediated immune response to tumor cell
HLA-DRB1,negative regulation of inflammatory response to antigenic stimulus
HLA-DRB1,regulation of interleukin-10 production
HLA-DRB1,regulation of interleukin-4 production
HLA-DRB5,membrane
HLA-DRB5,immune response
HLA-DRB5,antigen processing and presentation
HLA-DRB5,MHC class II protein complex
HLA-DRB5,integral component of membrane
HLA-DRB5,lysosomal membrane
HLA-DRB5,Golgi apparatus
HLA-DRB5,endoplasmic reticulum
HLA-DRB5,endoplasmic reticulum membrane
HLA-DRB5,plasma membrane
HLA-DRB5,endosome
HLA-DRB5,endosome membrane
HLA-DRB5,lysosome
HLA-DRB5,immune system process
HLA-DRB5,late endosome membrane
HLA-DRB5,adaptive immune response
HLA-DRB5,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
HLA-DRB5,extracellular exosome
HLA-DRB5,MHC class II protein complex binding
HLA-DRB5,peptide antigen assembly with MHC class II protein complex
HLA-DRB5,antigen processing and presentation of exogenous peptide antigen via MHC class II
HLA-DRB5,positive regulation of T cell activation
HLA-DRB5,trans-Golgi network membrane
HLA-DRB5,Golgi membrane
HLA-DRB5,endocytic vesicle membrane
HLA-DRB5,ER to Golgi transport vesicle membrane
