Gene name	GO domain	GO term name	GO term definition	GO term accession 
FOSL2	biological_process	positive regulation of DNA-templated transcription	Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription.	GO:0045893
FOSL2	biological_process	positive regulation of transcription by RNA polymerase II	Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.	GO:0045944
FOSL2	biological_process	positive regulation of fibroblast proliferation	Any process that activates or increases the frequency, rate or extent of multiplication or reproduction of fibroblast cells.	GO:0048146
FOSL2	cellular_component	RNA polymerase II transcription regulator complex	A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase II.	GO:0090575
FSTL4	molecular_function	calcium ion binding	Binding to a calcium ion (Ca2+).	GO:0005509
FSTL4	molecular_function	protein binding	Binding to a protein.	GO:0005515
FSTL4	cellular_component	extracellular region	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	GO:0005576
FSTL4	cellular_component	secretory granule	A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules.	GO:0030141
FSTL4	biological_process	cell differentiation	The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state.	GO:0030154
FSTL4	biological_process	negative regulation of brain-derived neurotrophic factor receptor signaling pathway	Any process that stops, prevents, or reduces the frequency, rate or extent of signaling via the brain-derived neurotrophic factor receptor signaling pathway.	GO:0031549
FSTL4	molecular_function	metal ion binding	Binding to a metal ion.	GO:0046872
FSTL4	molecular_function	brain-derived neurotrophic factor binding	Binding to brain-derived neurotrophic factor.	GO:0048403
FSTL4	biological_process	regulation of collateral sprouting	Any process that modulates the frequency, rate or extent of collateral sprouting.	GO:0048670
FSTL4	biological_process	negative regulation of collateral sprouting	Any process that stops, prevents, or reduces the frequency, rate or extent of collateral sprouting.	GO:0048671
FSTL4	biological_process	negative regulation of dendritic spine development	Any process that decreases the rate, frequency, or extent of dendritic spine development, the process whose specific outcome is the progression of the dendritic spine over time, from its formation to the mature structure.	GO:0061000
FTO	biological_process	temperature homeostasis	A homeostatic process in which an organism modulates its internal body temperature.	GO:0001659
FTO	molecular_function	protein binding	Binding to a protein.	GO:0005515
FTO	cellular_component	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	GO:0005634
FTO	cellular_component	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus.	GO:0005654
FTO	cellular_component	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	GO:0005737
FTO	cellular_component	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	GO:0005829
FTO	cellular_component	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	GO:0005886
FTO	biological_process	DNA dealkylation involved in DNA repair	The repair of alkylation damage, e.g. the removal of the alkyl group at the O6-position of guanine by O6-alkylguanine-DNA alkyltransferase (AGT).	GO:0006307
FTO	molecular_function	ferrous iron binding	Binding to a ferrous iron ion, Fe(II).	GO:0008198
FTO	biological_process	regulation of lipid storage	Any process that modulates the rate, frequency or extent of lipid storage. Lipid storage is the accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and utilization at later stages of development.	GO:0010883
FTO	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
FTO	molecular_function	oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	GO:0016491
FTO	cellular_component	nuclear speck	A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy.	GO:0016607
FTO	molecular_function	transferase activity	Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.	GO:0016740
FTO	molecular_function	oxidative RNA demethylase activity	Catalysis of the removal of a methyl group from one or more nucleosides within a RNA molecule involving the oxidation (i.e. electron loss) of one or more atoms.	GO:0035515
FTO	molecular_function	oxidative DNA demethylase activity	Catalysis of the reaction: a methylated nucleobase within DNA + 2-oxoglutarate + O(2) =  a nucleobase within DNA + formaldehyde + succinate + CO(2).	GO:0035516
FTO	biological_process	oxidative single-stranded DNA demethylation	Removal of the methyl group from one or more nucleotides within a single-stranded DNA molecule involving the oxidation (i.e. electron loss) of one or more atoms.	GO:0035552
FTO	biological_process	oxidative single-stranded RNA demethylation	Removal of the methyl group from one or more nucleotides within a single-stranded RNA molecule involving the oxidation (i.e. electron loss) of one or more atoms.	GO:0035553
FTO	biological_process	regulation of multicellular organism growth	Any process that modulates the frequency, rate or extent of growth of the body of an organism so that it reaches its usual body size.	GO:0040014
FTO	biological_process	RNA repair	Any process that results in the repair of damaged RNA.	GO:0042245
FTO	cellular_component	intracellular membrane-bounded organelle	Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane.	GO:0043231
FTO	molecular_function	DNA-N1-methyladenine dioxygenase activity	Catalysis of the oxidative demethylation of N1-methyladenine and N3-methylcytosine in DNA, with concomitant decarboxylation of 2-oxoglutarate and releases oxidized methyl group on N1-methyladenine and N3-methylcytosine as formaldehyde.	GO:0043734
FTO	biological_process	regulation of respiratory system process	Any process that modulates the frequency, rate or extent of a respiratory system process, an organ system process carried out by any of the organs or tissues of the respiratory system.	GO:0044065
FTO	molecular_function	metal ion binding	Binding to a metal ion.	GO:0046872
FTO	molecular_function	dioxygenase activity	Catalysis of an oxidation-reduction (redox) reaction in which both atoms of oxygen from one molecule of O2 are incorporated into the (reduced) product(s) of the reaction. The two atoms of oxygen may be distributed between two different products.	GO:0051213
FTO	biological_process	adipose tissue development	The process whose specific outcome is the progression of adipose tissue over time, from its formation to the mature structure. Adipose tissue is specialized tissue that is used to store fat.	GO:0060612
FTO	biological_process	mRNA destabilization	Any process that decreases the stability of an mRNA molecule, making it more vulnerable to degradative processes. Messenger RNA is the intermediate molecule between DNA and protein. It includes UTR and coding sequences. It does not contain introns.	GO:0061157
FTO	biological_process	regulation of white fat cell proliferation	Any process that modulates the frequency, rate or extent of white fat cell proliferation.	GO:0070350
FTO	biological_process	oxidative demethylation	The process of removing one or more methyl groups from a molecule, involving the oxidation (i.e. electron loss) of one or more atoms in the substrate.	GO:0070989
FTO	biological_process	DNA demethylation	The removal of a methyl group from one or more nucleotides within an DNA molecule.	GO:0080111
FTO	biological_process	regulation of brown fat cell differentiation	Any process that modulates the rate, frequency, or extent of brown fat cell differentiation. Brown fat cell differentiation is the process in which a relatively unspecialized cell acquires specialized features of a brown adipocyte, an animal connective tissue cell involved in adaptive thermogenesis. Brown adipocytes contain multiple small droplets of triglycerides and a high number of mitochondria.	GO:0090335
FTO	molecular_function	mRNA N6-methyladenosine dioxygenase activity	Catalysis of the oxidative demethylation of N6-methyladenosine RNA, with concomitant decarboxylation of 2-oxoglutarate and releases oxidized methyl group on N6-methyladenosine as formaldehyde.	GO:1990931
FTO	molecular_function	tRNA demethylase activity	Catalysis of the removal of a methyl group from one or more positions within a tRNA molecule.	GO:1990984
FUT2	cellular_component	Golgi membrane	The lipid bilayer surrounding any of the compartments of the Golgi apparatus.	GO:0000139
FUT2	biological_process	regulation of endothelial cell proliferation	Any process that modulates the frequency, rate, or extent of endothelial cell proliferation.	GO:0001936
FUT2	molecular_function	protein binding	Binding to a protein.	GO:0005515
FUT2	cellular_component	Golgi apparatus	A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways.	GO:0005794
FUT2	biological_process	carbohydrate metabolic process	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y.	GO:0005975
FUT2	biological_process	protein glycosylation	A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.	GO:0006486
FUT2	biological_process	lipid metabolic process	The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.	GO:0006629
FUT2	biological_process	glycolipid metabolic process	The chemical reactions and pathways involving glycolipids, a class of 1,2-di-O-acylglycerols joined at oxygen 3 by a glycosidic linkage to a carbohydrate part (usually a mono-, di- or tri-saccharide). Some substances classified as bacterial glycolipids have the sugar group acylated by one or more fatty acids and the glycerol group may be absent.	GO:0006664
FUT2	molecular_function	galactoside 2-alpha-L-fucosyltransferase activity	Catalysis of the reaction: GDP-L-fucose + beta-D-galactosyl-R = GDP + alpha-L-fucosyl-(1,2)-beta-D-galactosyl-R.	GO:0008107
FUT2	molecular_function	fucosyltransferase activity	Catalysis of the transfer of a fucosyl group to an acceptor molecule, typically another carbohydrate or a lipid.	GO:0008417
FUT2	biological_process	oligosaccharide biosynthetic process	The chemical reactions and pathways resulting in the formation of oligosaccharides, molecules with between two and (about) 20 monosaccharide residues connected by glycosidic linkages.	GO:0009312
FUT2	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
FUT2	molecular_function	transferase activity	Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.	GO:0016740
FUT2	molecular_function	glycosyltransferase activity	Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).	GO:0016757
FUT2	biological_process	regulation of cell adhesion	Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix.	GO:0030155
FUT2	molecular_function	alpha-(1,2)-fucosyltransferase activity	Catalysis of the transfer of an L-fucosyl group from GDP-beta-L-fucose to an acceptor molecule to form an alpha-(1->2) linkage.	GO:0031127
FUT2	cellular_component	Golgi cisterna membrane	The lipid bilayer surrounding any of the thin, flattened compartments that form the central portion of the Golgi complex.	GO:0032580
FUT2	biological_process	fucosylation	The covalent attachment of a fucosyl group to an acceptor molecule.	GO:0036065
FUT2	biological_process	L-fucose catabolic process	The chemical reactions and pathways resulting in the breakdown of L-fucose (6-deoxy-Lgalactose).	GO:0042355
FUT2	cellular_component	extracellular exosome	A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm.	GO:0070062
GAB3	cellular_component	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	GO:0005737
GAB3	biological_process	signal transduction	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.	GO:0007165
GAB3	biological_process	macrophage differentiation	The process in which a relatively unspecialized monocyte acquires the specialized features of a macrophage.	GO:0030225
GAB3	molecular_function	signaling adaptor activity	The binding activity of a molecule that brings together two or more molecules in a signaling pathway, permitting those molecules to function in a coordinated way. Adaptor molecules themselves do not have catalytic activity.	GO:0035591
GABRA2	biological_process	regulation of neurotransmitter levels	Any process that modulates levels of neurotransmitter.	GO:0001505
GABRA2	molecular_function	transmembrane signaling receptor activity	Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.	GO:0004888
GABRA2	molecular_function	GABA-A receptor activity	Combining with the amino acid gamma-aminobutyric acid (GABA, 4-aminobutyrate) to initiate a change in cell activity. GABA-A receptors function as chloride channels.	GO:0004890
GABRA2	molecular_function	ion channel activity	Enables the facilitated diffusion of an ion (by an energy-independent process) by passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. May be either selective (it enables passage of a specific ion only) or non-selective (it enables passage of two or more ions of same charge but different size).	GO:0005216
GABRA2	molecular_function	extracellular ligand-gated ion channel activity	Enables the transmembrane transfer of an ion by a channel that opens when a specific extracellular ligand has been bound by the channel complex or one of its constituent parts.	GO:0005230
GABRA2	molecular_function	excitatory extracellular ligand-gated ion channel activity	Enables the transmembrane transfer of an ion by a channel that opens when a specific extracellular ligand has been bound by the channel complex or one of its constituent parts, where channel opening contributes to an increase in membrane potential.	GO:0005231
GABRA2	molecular_function	inhibitory extracellular ligand-gated ion channel activity	Enables the transmembrane transfer of an ion by a channel that opens when a specific extracellular inhibitory ligand has been bound by the channel complex or one of its constituent parts. Inhibitory ligands, such as GABA or glycine, open chloride-selective channels.	GO:0005237
GABRA2	molecular_function	chloride channel activity	Enables the facilitated diffusion of a chloride (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.	GO:0005254
GABRA2	molecular_function	protein binding	Binding to a protein.	GO:0005515
GABRA2	cellular_component	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	GO:0005886
GABRA2	biological_process	ion transport	The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	GO:0006811
GABRA2	biological_process	chloride transport	The directed movement of chloride into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	GO:0006821
GABRA2	biological_process	neurotransmitter transport	The directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell.	GO:0006836
GABRA2	biological_process	signal transduction	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.	GO:0007165
GABRA2	biological_process	gamma-aminobutyric acid signaling pathway	The series of molecular signals generated by the binding of gamma-aminobutyric acid (GABA, 4-aminobutyrate), an amino acid which acts as a neurotransmitter in some organisms, to its receptor on the surface of a target cell.	GO:0007214
GABRA2	biological_process	chemical synaptic transmission	The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse.	GO:0007268
GABRA2	molecular_function	benzodiazepine receptor activity	Combining with benzodiazepines, a class of drugs with hypnotic, anxiolytic, anticonvulsive, amnestic and myorelaxant properties, to initiate a change in cell activity.	GO:0008503
GABRA2	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
GABRA2	cellular_component	integral component of membrane	The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.	GO:0016021
GABRA2	molecular_function	GABA-gated chloride ion channel activity	Enables the transmembrane transfer of a chloride ion by a channel that opens when GABA has been bound by the channel complex or one of its constituent parts.	GO:0022851
GABRA2	cellular_component	axon	The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter.	GO:0030424
GABRA2	cellular_component	dendrite	A neuron projection that has a short, tapering, morphology. Dendrites receive and integrate signals from other neurons or from sensory stimuli, and conduct nerve impulses towards the axon or the cell body. In most neurons, the impulse is conveyed from dendrites to axon via the cell body, but in some types of unipolar neuron, the impulse does not travel via the cell body.	GO:0030425
GABRA2	molecular_function	neurotransmitter receptor activity	Combining with a neurotransmitter and transmitting the signal to initiate a change in cell activity.	GO:0030594
GABRA2	cellular_component	cytoplasmic vesicle membrane	The lipid bilayer surrounding a cytoplasmic vesicle.	GO:0030659
GABRA2	cellular_component	synaptic vesicle membrane	The lipid bilayer surrounding a synaptic vesicle.	GO:0030672
GABRA2	cellular_component	cytoplasmic vesicle	A vesicle found in the cytoplasm of a cell.	GO:0031410
GABRA2	cellular_component	dendrite membrane	The portion of the plasma membrane surrounding a dendrite.	GO:0032590
GABRA2	biological_process	ion transmembrane transport	A process in which an ion is transported across a membrane.	GO:0034220
GABRA2	cellular_component	chloride channel complex	An ion channel complex through which chloride ions pass.	GO:0034707
GABRA2	biological_process	regulation of membrane potential	Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane.	GO:0042391
GABRA2	cellular_component	cell projection	A prolongation or process extending from a cell, e.g. a flagellum or axon.	GO:0042995
GABRA2	cellular_component	neuron projection	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite.	GO:0043005
GABRA2	cellular_component	neuronal cell body	The portion of a neuron that includes the nucleus, but excludes cell projections such as axons and dendrites.	GO:0043025
GABRA2	cellular_component	synapse	The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane.	GO:0045202
GABRA2	cellular_component	postsynaptic membrane	A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane.	GO:0045211
GABRA2	biological_process	nervous system process	A organ system process carried out by any of the organs or tissues of neurological system.	GO:0050877
GABRA2	biological_process	synaptic transmission, GABAergic	The vesicular release of  gamma-aminobutyric acid (GABA). from a presynapse, across a chemical synapse, the subsequent activation of GABA receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse.	GO:0051932
GABRA2	cellular_component	inhibitory synapse	A synapse in which an action potential in the presynaptic cell reduces the probability of an action potential occurring in the postsynaptic cell.	GO:0060077
GABRA2	biological_process	regulation of postsynaptic membrane potential	Any process that modulates the potential difference across a post-synaptic membrane.	GO:0060078
GABRA2	biological_process	excitatory postsynaptic potential	A process that leads to a temporary increase in postsynaptic potential due to the flow of positively charged ions into the postsynaptic cell. The flow of ions that causes an EPSP is an excitatory postsynaptic current (EPSC) and makes it easier for the neuron to fire an action potential.	GO:0060079
GABRA2	cellular_component	synaptic membrane	A specialized area of membrane on either the presynaptic or the postsynaptic side of a synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell.	GO:0097060
GABRA2	cellular_component	postsynapse	The part of a synapse that is part of the post-synaptic cell.	GO:0098794
GABRA2	cellular_component	GABA-ergic synapse	A synapse that uses GABA as a neurotransmitter.  These synapses are typically inhibitory.	GO:0098982
GABRA2	biological_process	regulation of presynaptic membrane potential	Any process that modulates the potential difference across a presynaptic membrane.	GO:0099505
GABRA2	molecular_function	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	Any ligand-gated ion channel activity, occurring in the presynaptic membrane, that is involved in regulation of presynaptic membrane potential.	GO:0099507
GABRA2	cellular_component	postsynaptic specialization membrane	The membrane component of the postsynaptic specialization. This is the region of the postsynaptic membrane in which the population of neurotransmitter receptors involved in synaptic transmission are concentrated.	GO:0099634
GABRA2	biological_process	chloride transmembrane transport	The process in which chloride is transported across a membrane.	GO:1902476
GABRA2	cellular_component	GABA-A receptor complex	A protein complex which is capable of GABA-A receptor activity. In human, it is usually composed of either two alpha, two beta and one gamma chain of the GABA-A receptor subunits or 5 chains of the GABA-A receptor subunits rho1-3 (formally known as GABA-C receptor).	GO:1902711
GABRA2	molecular_function	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	Any transmitter-gated ion channel activity that is involved in regulation of postsynaptic membrane potential.	GO:1904315
GABRA2	biological_process	inhibitory synapse assembly	The aggregation, arrangement and bonding together of a set of components to form an inhibitory synapse.	GO:1904862
GATA3	biological_process	negative regulation of transcription by RNA polymerase II	Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II.	GO:0000122
GATA3	cellular_component	chromatin	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.	GO:0000785
GATA3	biological_process	cell morphogenesis	The developmental process in which the size or shape of a cell is generated and organized.	GO:0000902
GATA3	molecular_function	transcription cis-regulatory region binding	Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon.	GO:0000976
GATA3	molecular_function	RNA polymerase II transcription regulatory region sequence-specific DNA binding	Binding to a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II.	GO:0000977
GATA3	molecular_function	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.	GO:0000978
GATA3	molecular_function	DNA-binding transcription factor activity, RNA polymerase II-specific	A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II.	GO:0000981
GATA3	molecular_function	cis-regulatory region sequence-specific DNA binding	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by some RNA polymerase. The proximal promoter is in cis with and relatively close to the core promoter.	GO:0000987
GATA3	molecular_function	transcription coactivator binding	Binding to a transcription coactivator, a protein involved in positive regulation of transcription via protein-protein interactions with transcription factors and other proteins that positively regulate transcription. Transcription coactivators do not bind DNA directly, but rather mediate protein-protein interactions between activating transcription factors and the basal transcription machinery.	GO:0001223
GATA3	molecular_function	DNA-binding transcription repressor activity, RNA polymerase II-specific	A DNA-binding transcription factor activity that represses or decreases the transcription of specific gene sets transcribed by RNA polymerase II.	GO:0001227
GATA3	molecular_function	DNA-binding transcription activator activity, RNA polymerase II-specific	A DNA-binding transcription factor activity that activates or increases transcription of specific gene sets transcribed by RNA polymerase II.	GO:0001228
GATA3	biological_process	in utero embryonic development	The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus.	GO:0001701
GATA3	biological_process	cell fate determination	A process involved in cell fate commitment. Once determination has taken place, a cell becomes committed to differentiate down a particular pathway regardless of its environment.	GO:0001709
GATA3	biological_process	neuron migration	The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature.	GO:0001764
GATA3	biological_process	type IV hypersensitivity	An inflammatory response driven by T cell recognition of processed soluble or cell-associated antigens leading to cytokine release and leukocyte activation.	GO:0001806
GATA3	biological_process	regulation of cytokine production	Any process that modulates the frequency, rate, or extent of production of a cytokine.	GO:0001817
GATA3	biological_process	positive regulation of cytokine production	Any process that activates or increases the frequency, rate or extent of production of a cytokine.	GO:0001819
GATA3	biological_process	kidney development	The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine.	GO:0001822
GATA3	biological_process	mesonephros development	The process whose specific outcome is the progression of the mesonephros over time, from its formation to the mature structure. In mammals, the mesonephros is the second of the three embryonic kidneys to be established and exists only transiently. In lower vertebrates such as fish and amphibia, the mesonephros will form the mature kidney.	GO:0001823
GATA3	biological_process	lens development in camera-type eye	The process whose specific outcome is the progression of the lens over time, from its formation to the mature structure. The lens is a transparent structure in the eye through which light is focused onto the retina. An example of this process is found in Mus musculus.	GO:0002088
GATA3	biological_process	immune system process	Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats.	GO:0002376
GATA3	biological_process	immune system development	The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process.	GO:0002520
GATA3	biological_process	pro-T cell differentiation	The process in which a precursor cell type acquires the specialized features of a pro-T cell. Pro-T cells are the earliest stage of the T cell lineage but are not fully committed.	GO:0002572
GATA3	biological_process	aortic valve morphogenesis	The process in which the structure of the aortic valve is generated and organized.	GO:0003180
GATA3	biological_process	cardiac right ventricle morphogenesis	The process in which the right cardiac ventricle is generated and organized.	GO:0003215
GATA3	biological_process	ventricular septum development	The progression of the ventricular septum over time from its formation to the mature structure.	GO:0003281
GATA3	molecular_function	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	GO:0003677
GATA3	molecular_function	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	GO:0003700
GATA3	molecular_function	interleukin-2 receptor binding	Binding to an interleukin-2 receptor.	GO:0005134
GATA3	molecular_function	protein binding	Binding to a protein.	GO:0005515
GATA3	cellular_component	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	GO:0005634
GATA3	cellular_component	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus.	GO:0005654
GATA3	biological_process	chromatin remodeling	A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication.	GO:0006338
GATA3	biological_process	regulation of DNA-templated transcription	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.	GO:0006355
GATA3	biological_process	regulation of transcription by RNA polymerase II	Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II.	GO:0006357
